질문코드,질문내용,보기번호,보기내용,문항,문항유형,파일명
W1_Q1,결혼여부,1.0,미혼,,,Welcome
W1_Q1,결혼여부,2.0,기혼,,,Welcome
W1_Q1,결혼여부,3.0,기타(사별/이혼 등),,,Welcome
W1_Q3,가족수,1.0,1명(혼자 거주),,,Welcome
W1_Q3,가족수,2.0,2명,,,Welcome
W1_Q3,가족수,3.0,3명,,,Welcome
W1_Q3,가족수,4.0,4명,,,Welcome
W1_Q3,가족수,5.0,5명 이상,,,Welcome
W1_Q4,최종학력,1.0,고등학교 졸업 이하,,,Welcome
W1_Q4,최종학력,2.0,대학교 재학(휴학 포함),,,Welcome
W1_Q4,최종학력,3.0,대학교 졸업,,,Welcome
W1_Q4,최종학력,4.0,대학원 재학/졸업 이상,,,Welcome
W1_Q5,직업,1.0,"전문직 (의사, 간호사, 변호사, 회계사, 예술가, 종교인, 엔지니어, 프로그래머, 기술사 등)",,,Welcome
W1_Q5,직업,2.0,"교직 (교수, 교사, 강사 등)",,,Welcome
W1_Q5,직업,3.0,"경영/관리직 (사장, 대기업 간부, 고위 공무원 등)",,,Welcome
W1_Q5,직업,4.0,"사무직 (기업체 차장 이하 사무직 종사자, 공무원 등)",,,Welcome
W1_Q5,직업,5.0,"자영업 (제조업, 건설업, 도소매업, 운수업, 무역업, 서비스업 경영)",,,Welcome
W1_Q5,직업,6.0,"판매직 (보험판매, 세일즈맨, 도/소매업 직원, 부동산 판매, 행상, 노점상 등)",,,Welcome
W1_Q5,직업,7.0,"서비스직 (미용, 통신, 안내, 요식업 직원 등)",,,Welcome
W1_Q5,직업,8.0,"생산/노무직 (차량운전자, 현장직, 생산직 등)",,,Welcome
W1_Q5,직업,9.0,"기능직 (기술직, 제빵업, 목수, 전기공, 정비사, 배관공 등)",,,Welcome
W1_Q5,직업,10.0,농업/임업/축산업/광업/수산업,,,Welcome
W1_Q5,직업,11.0,임대업,,,Welcome
W1_Q5,직업,12.0,중/고등학생,,,Welcome
W1_Q5,직업,13.0,대학생/대학원생,,,Welcome
W1_Q5,직업,14.0,전업주부,,,Welcome
W1_Q5,직업,15.0,퇴직/연금생활자,,,Welcome
W1_Q5_1,직무,1.0,경영•인사•총무•사무,,,Welcome
W1_Q5_1,직무,2.0,재무•회계•경리,,,Welcome
W1_Q5_1,직무,3.0,금융•보험•증권,,,Welcome
W1_Q5_1,직무,4.0,마케팅•광고•홍보•조사,,,Welcome
W1_Q5_1,직무,5.0,무역•영업•판매•매장관리,,,Welcome
W1_Q5_1,직무,6.0,고객상담•TM,,,Welcome
W1_Q5_1,직무,7.0,전문직•법률•인문사회•임원,,,Welcome
W1_Q5_1,직무,8.0,의료•간호•보건•복지,,,Welcome
W1_Q5_1,직무,9.0,교육•교사•강사•교직원,,,Welcome
W1_Q5_1,직무,10.0,방송•언론,,,Welcome
W1_Q5_1,직무,11.0,문화•스포츠,,,Welcome
W1_Q5_1,직무,12.0,서비스•여행•숙박•음식•미용•보안,,,Welcome
W1_Q5_1,직무,13.0,유통•물류•운송•운전,,,Welcome
W1_Q5_1,직무,14.0,디자인,,,Welcome
W1_Q5_1,직무,15.0,인터넷•통신,,,Welcome
W1_Q5_1,직무,16.0,IT,,,Welcome
W1_Q5_1,직무,17.0,모바일,,,Welcome
W1_Q5_1,직무,18.0,게임,,,Welcome
W1_Q5_1,직무,19.0,전자•기계•기술•화학•연구개발,,,Welcome
W1_Q5_1,직무,20.0,건설•건축•토목•환경,,,Welcome
W1_Q5_1,직무,21.0,생산•정비•기능•노무,,,Welcome
W1_Q6,월평균 개인소득,1.0,월 100만원 미만,,,Welcome
W1_Q6,월평균 개인소득,2.0,월 100~199만원,,,Welcome
W1_Q6,월평균 개인소득,3.0,월 200~299만원,,,Welcome
W1_Q6,월평균 개인소득,4.0,월 300~399만원,,,Welcome
W1_Q6,월평균 개인소득,5.0,월 400~499만원,,,Welcome
W1_Q6,월평균 개인소득,6.0,월 500~599만원,,,Welcome
W1_Q6,월평균 개인소득,7.0,월 600~699만원,,,Welcome
W1_Q6,월평균 개인소득,8.0,월 700~799만원,,,Welcome
W1_Q6,월평균 개인소득,9.0,월 800~899만원,,,Welcome
